precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Growth Rate (1/hr),CTR [mol/h],D-glucose consumed [cmol],OD [-],base volume [ml],citrate [mmol/L],pyruvate [mmol/L],succinate [mmol/L],formate [mmol/L],lactate [mmol/L],ethanol [mmol/L],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0311,DDB_PD_065_AMBR_R13__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Batch]_[0h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.45,0.00053,2.00E-05,3.73,1.09,9.226,10.552,0.72,10.523,9.711,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Batch]_[0h],FALSE
DDB_0312,DDB_PD_065_AMBR_R13__S06_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[3h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,3,0.081,0.00464,0.08773,65.1,2.86,8.649,0,3.116,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[3h],FALSE
DDB_0313,DDB_PD_065_AMBR_R13__S08_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[9h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,9,0.095,0.00898,0.17661,95.6,5.29,6.354,0,6.895,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[9h],FALSE
DDB_0314,DDB_PD_065_AMBR_R13__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[15h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.096,0.01698,0.34093,144.7,10.52,5.007,0,7.739,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[15h],FALSE
DDB_0315,DDB_PD_065_AMBR_R14__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.391,0.00079,0.00729,3.31,1.19,9.101,13.575,0,0,19.588,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],FALSE
DDB_0316,DDB_PD_065_AMBR_R15__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.504,0.00053,0.00652,3.23,1.09,9.138,14.259,0,0,19.743,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],FALSE
DDB_0317,DDB_PD_065_AMBR_R14__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.103,0.02055,0.34544,126.5,9.76,6.024,0,4.936,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],TRUE
DDB_0318,DDB_PD_065_AMBR_R15__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.097,0.01863,0.34511,126.2,8.47,5.941,0,6.412,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],TRUE
DDB_0319,DDB_PD_065_AMBR_R16__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT172_del_purR]_[Batch]_[0h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-purR,SDT172,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.513,0.00043,0.00064,3.46,1.09,9.344,12.309,0,10.539,12.22,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT172_del_purR]_[Batch]_[0h],TRUE
DDB_0320,DDB_PD_065_AMBR_R17__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT172_del_purR]_[Batch]_[0h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-purR,SDT172,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.381,0.00051,0,3.25,1.03,9.296,11.424,0.735,9.58,10.203,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT172_del_purR]_[Batch]_[0h],TRUE
DDB_0321,DDB_PD_065_AMBR_R16__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT172_del_purR]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-purR,SDT172,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.1,0.01638,0.34549,146.9,9.86,5.798,0,7.544,0,1.124,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT172_del_purR]_[Fed-batch]_[15h],TRUE
DDB_0322,DDB_PD_065_AMBR_R17__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT172_del_purR]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-purR,SDT172,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.091,0.01785,0.34411,141.6,9.86,5.992,0,6.751,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT172_del_purR]_[Fed-batch]_[15h],TRUE
DDB_0323,DDB_PD_065_AMBR_R18__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT173_del_prpR]_[Batch]_[0h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-prpR,SDT173,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.442,0.00055,0,3.48,1.06,9.238,10.733,0.813,10.542,10.202,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT173_del_prpR]_[Batch]_[0h],TRUE
DDB_0324,DDB_PD_065_AMBR_R19__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT173_del_prpR]_[Batch]_[0h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-prpR,SDT173,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.432,0.00047,0,3.65,1.09,9.215,10.289,0.762,11.084,9.928,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT173_del_prpR]_[Batch]_[0h],TRUE
DDB_0325,DDB_PD_065_AMBR_R18__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT173_del_prpR]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-prpR,SDT173,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.093,0.01844,0.34692,143.8,9.63,5.993,0,7.658,0,0.936,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT173_del_prpR]_[Fed-batch]_[15h],TRUE
DDB_0326,DDB_PD_065_AMBR_R19__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT173_del_prpR]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-prpR,SDT173,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.09,0.017,0.34511,142.1,9.48,6.146,0,6.005,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT173_del_prpR]_[Fed-batch]_[15h],TRUE
DDB_0327,DDB_PD_065_AMBR_R20__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT175_del_fur]_[Batch]_[0h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-fur,SDT175,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.37,0.00014,0,2.3,1.03,8.99,9.098,0,0,4.576,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT175_del_fur]_[Batch]_[0h],FALSE
DDB_0328,DDB_PD_065_AMBR_R20__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-fur,SDT175,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.095,0.01751,0.34439,132.3,9.4,4.314,0,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],TRUE
DDB_0329,DDB_PD_065_AMBR_R21__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-fur,SDT175,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.089,0.0182,0.34729,132,8.35,4.294,0,9.232,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],TRUE
DDB_0330,DDB_PD_065_AMBR_R22__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-csgD,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.427,0.00046,0.00134,3.72,1.16,9.288,11.616,0,11.661,12.868,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],TRUE
DDB_0331,DDB_PD_065_AMBR_R23__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-csgD,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.393,0.00042,0.00145,3.61,1.1,9.372,12.446,1.048,11.502,14.644,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],TRUE
DDB_0332,DDB_PD_065_AMBR_R22__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-csgD,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.094,0.01603,0.34483,145.3,11.83,5.885,0,7.091,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],TRUE
DDB_0333,DDB_PD_065_AMBR_R23__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-csgD,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.092,0.01686,0.34472,142.1,10.69,5.591,0,7.342,0,1.062,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],TRUE
