Parent Culture,Base Medium,Comments,Container ID (calculated),Container Type,Control?,Culture Type,Experiment,Experiment Annotation,growth_rate,Feed Medium #1,Reactor/Plate/Flask Number,Replicate #,Seed,Strain Batch,Strain Genotype,Initial Culture VolumeNone,Culture Volume Unit,Starting OD,Temperature Setpoint (C),pH Setpoint,pH Control Base Solution,DO Control Setpoint (%),DO Control Cascade Level 1,DO Control Cascade Level 2,DO Control Cascade Level 3,Minimum Aeration (slpm),Maximum Aeration (slpm),Minimum Stirring or Shaking Speed (rpm),Maximum Stirring or Shaking Speed (rpm),Aeration Gas Type
DDB_PD_036_AMBR_DDB35-001_R13_Main_,DDB_BM_002,Control Medium,R13,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R13,1,DDB_PD_036_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_DDB35-001_R14_Main_,DDB_BM_002,Control Medium,R14,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R14,1,DDB_PD_036_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_SDT107-001_R15_Main_,DDB_BM_002,Control Medium,R15,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R15,1,DDB_PD_036_AMBR_SDT107-001_2_Pre-Final_,SDT107-001,Escherichia coli BW25113 del_fhuA del_zur,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_SDT107-001_R16_Main_,DDB_BM_002,Control Medium,R16,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R16,1,DDB_PD_036_AMBR_SDT107-001_2_Pre-Final_,SDT107-001,Escherichia coli BW25113 del_fhuA del_zur,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_DDB35-001_R17_Main_,DDB_BM_002,2x Zn concentration (Batch medium) and 20x Zn concentration (Feed medium),R17,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R17,1,DDB_PD_036_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_DDB35-001_R18_Main_,DDB_BM_002,2x Zn concentration (Batch medium) and 20x Zn concentration (Feed medium),R18,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R18,1,DDB_PD_036_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_SDT107-001_R19_Main_,DDB_BM_002,2x Zn concentration (Batch medium) and 20x Zn concentration (Feed medium),R19,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R19,1,DDB_PD_036_AMBR_SDT107-001_2_Pre-Final_,SDT107-001,Escherichia coli BW25113 del_fhuA del_zur,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_SDT107-001_R20_Main_,DDB_BM_002,2x Zn concentration (Batch medium) and 20x Zn concentration (Feed medium),R20,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R20,1,DDB_PD_036_AMBR_SDT107-001_2_Pre-Final_,SDT107-001,Escherichia coli BW25113 del_fhuA del_zur,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_DDB35-001_R21_Main_,DDB_BM_002,0.6x Zn concentration (Batch medium) and 1/20x Zn concentration (Feed medium),R21,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R21,1,DDB_PD_036_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_DDB35-001_R22_Main_,DDB_BM_002,0.6x Zn concentration (Batch medium) and 1/20x Zn concentration (Feed medium),R22,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R22,1,DDB_PD_036_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_SDT107-001_R23_Main_,DDB_BM_002,0.6x Zn concentration (Batch medium) and 1/20x Zn concentration (Feed medium),R23,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R23,1,DDB_PD_036_AMBR_SDT107-001_2_Pre-Final_,SDT107-001,Escherichia coli BW25113 del_fhuA del_zur,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
DDB_PD_036_AMBR_SDT107-001_R24_Main_,DDB_BM_002,0.6x Zn concentration (Batch medium) and 1/20x Zn concentration (Feed medium),R24,AMBR 250,No,Main,DDB_PD_036_AMBR,DDB Zinc,0.11,DDB_FM_002,R24,1,DDB_PD_036_AMBR_SDT107-001_2_Pre-Final_,SDT107-001,Escherichia coli BW25113 del_fhuA del_zur,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.22,1000,4000,"Air, O2"
